0	804	426	1265	
1	588	583	1204	
2	706	674	1423	
3	937	550	1529	
4	1719	290	2067	
5	490	867	1405	
6	1124	1018	2195	
7	2339	2314	4816	
8	1008	1811	2905	
9	745	337	1117	
10	1065	1749	2907	
11	482	186	683	
12	545	843	1435	
13	330	267	618	
14	541	315	880	
15	658	645	1361	
16	1035	996	2078	
17	891	1505	2481	
18	327	1418	1790	
19	569	2039	2669	
20	1788	646	2483	
21	492	878	1411	
22	509	700	1244	
23	887	1524	2503	
24	353	791	1172	
25	1618	2191	3931	
26	691	1182	1930	
27	426	1650	2144	
28	375	1989	2418	
29	621	1200	1877	
30	422	1839	2321	
31	278	711	1021	
32	573	1301	1938	
33	296	282	593	
34	576	1202	1852	
35	578	1184	1825	
36	861	1297	2217	
