0	853	409	1284	
1	659	545	1223	
2	780	651	1454	
3	980	549	1554	
4	1746	302	2093	
5	583	828	1439	
6	1174	1015	2218	
7	2613	2173	4895	
8	1193	1710	2951	
9	796	317	1136	
10	1193	1683	2935	
11	497	194	702	
12	619	813	1461	
13	348	271	630	
14	572	296	887	
15	771	575	1385	
16	1095	994	2122	
17	1038	1432	2516	
18	421	1379	1825	
19	689	1979	2696	
20	1856	609	2506	
21	617	806	1437	
22	601	638	1266	
23	1060	1446	2558	
24	425	738	1184	
25	1909	1996	3983	
26	789	1131	1963	
27	523	1607	2177	
28	497	1927	2463	
29	719	1148	1898	
30	499	1806	2350	
31	330	684	1035	
32	681	1250	1967	
33	325	270	602	
34	740	1111	1890	
35	748	1072	1855	
36	1093	1147	2276	
