0	466	231	730	
1	309	358	698	
2	432	423	901	
3	549	354	943	
4	1163	129	1321	
5	325	595	969	
6	778	533	1358	
7	1354	1261	2731	
8	686	1169	1939	
9	408	181	619	
10	675	1028	1782	
11	258	94	369	
12	345	505	884	
13	182	181	381	
14	271	180	472	
15	481	457	981	
16	682	578	1326	
17	605	963	1642	
18	251	853	1152	
19	396	1287	1760	
20	1137	318	1493	
21	416	670	1124	
22	391	491	916	
23	434	920	1400	
24	253	535	812	
25	906	1388	2378	
26	418	695	1187	
27	312	1029	1391	
28	313	1246	1623	
29	413	689	1166	
30	295	1071	1437	
31	195	440	668	
32	342	784	1166	
33	226	279	521	
34	384	716	1153	
35	455	943	1448	
36	639	806	1487	
