0	449	291	779	
1	715	461	1216	
2	1050	38	1094	
3	1035	35	1095	
4	641	12	662	
5	385	614	1040	
6	1750	561	2368	
7	902	437	1387	
8	1670	1028	2780	
9	561	400	1001	
10	665	777	1481	
11	1142	1272	2477	
12	1576	743	2380	
13	768	617	1442	
14	952	1139	2160	
15	700	1207	1972	
16	496	11	513	
17	480	553	1058	
18	386	289	705	
19	315	221	569	
20	890	33	931	
21	655	238	922	
22	674	573	1289	
23	1004	246	1294	
24	798	472	1302	
25	1142	325	1507	
26	930	358	1322	
27	568	131	717	
28	594	137	759	
29	273	136	431	
30	343	365	744	
31	432	330	781	
32	2242	1490	3819	
33	1035	1170	2266	
34	349	1212	1581	
35	737	1399	2202	
36	1794	1051	2959	
37	541	947	1543	
38	678	650	1353	
39	1667	290	1983	
40	1530	280	1846	
41	1295	1440	2829	
42	839	1234	2138	
43	1404	833	2306	
44	372	415	818	
45	392	260	670	
46	797	1181	2033	
47	467	628	1114	
48	349	638	1004	
49	376	458	852	
50	402	424	849	
51	661	103	794	
52	382	422	826	
53	758	320	1106	
54	753	66	836	
55	700	217	943	
56	386	103	510	
57	472	210	720	
58	444	731	1199	
59	619	942	1599	
60	668	752	1479	
61	1204	696	1974	
62	850	53	922	
63	311	331	688	
64	894	368	1306	
65	996	149	1167	
66	450	722	1195	
67	840	467	1337	
68	709	421	1162	
69	1366	690	2112	
70	700	51	766	
71	738	180	946	
72	858	51	936	
73	425	135	581	
74	497	239	761	
75	878	254	1164	
76	1276	238	1548	
77	1037	29	1080	
78	867	332	1234	
79	653	143	819	
80	723	78	811	
81	640	461	1142	
82	328	552	894	
83	382	776	1176	
84	501	476	1023	
85	1589	773	2430	
86	344	394	762	
87	809	1292	2140	
88	579	830	1432	
89	565	210	819	
90	1000	272	1320	
91	1422	17	1454	
92	587	46	649	
93	348	607	969	
94	400	526	946	
95	568	128	715	
96	469	457	941	
97	498	554	1086	
98	415	105	539	
99	690	106	819	
100	615	507	1156	
101	540	269	857	
102	1150	386	1571	
103	520	44	577	
104	997	91	1107	
105	779	85	885	
106	444	65	524	
107	590	671	1286	
108	393	648	1086	
109	1109	420	1575	
110	716	932	1701	
111	1175	84	1275	
112	906	178	1111	
113	425	468	928	
114	1201	199	1445	
115	1150	250	1419	
116	742	80	852	
117	876	8	898	
118	1258	147	1426	
119	758	39	809	
120	587	86	708	
121	706	245	987	
122	285	429	740	
123	570	693	1297	
124	415	677	1116	
125	625	1018	1686	
126	600	845	1496	
127	443	206	673	
128	527	115	659	
129	572	197	786	
130	548	661	1239	
131	377	358	759	
132	789	145	965	
133	858	26	894	
134	388	748	1156	
135	515	175	718	
136	552	231	813	
137	400	381	799	
138	529	92	640	
139	679	1274	1993	
140	839	182	1041	
141	851	110	981	
142	392	121	530	
143	1020	154	1194	
144	805	478	1319	
145	231	106	351	
146	552	422	1032	
147	663	597	1293	
148	448	403	892	
149	446	267	751	
150	692	25	732	
151	799	71	889	
152	1091	36	1141	
153	906	97	1018	
154	441	156	622	
155	344	582	947	
156	561	201	796	
157	690	1208	1959	
158	1080	1136	2324	
159	1976	271	2279	
160	409	621	1059	
161	723	188	940	
162	1616	1805	3525	
163	477	182	692	
164	730	210	985	
165	524	658	1208	
166	353	727	1105	
167	518	449	993	
168	575	800	1417	
169	897	1237	2183	
170	660	940	1655	
171	465	122	611	
172	862	1294	2246	
173	958	1449	2483	
174	797	1315	2187	
175	289	345	667	
176	1628	696	2401	
177	1489	423	1947	
178	842	507	1375	
179	785	1277	2148	
180	852	1011	1936	
181	2250	205	2490	
182	2209	673	2962	
183	2484	571	3123	
184	1369	156	1554	
185	1060	418	1514	
186	649	817	1518	
187	957	928	1933	
188	420	778	1257	
189	568	171	764	
190	533	199	757	
191	812	1559	2413	
192	534	1103	1713	
193	650	1336	2038	
194	1335	1194	2613	
