0	769	523	1318	
1	1077	918	2029	
2	1926	53	1984	
3	1853	25	1888	
4	1173	5	1181	
5	584	1048	1653	
6	3222	1023	4272	
7	1501	835	2371	
8	2687	1825	4556	
9	980	749	1743	
10	1150	1384	2560	
11	1768	2212	4028	
12	2738	1289	4076	
13	1563	1221	2824	
14	1586	2098	3712	
15	1071	2063	3192	
16	1075	18	1095	
17	672	958	1644	
18	623	516	1171	
19	570	382	975	
20	1497	61	1565	
21	1244	516	1772	
22	1228	1076	2334	
23	2012	552	2608	
24	1298	884	2212	
25	1961	630	2619	
26	1511	655	2192	
27	1186	247	1445	
28	1183	243	1450	
29	608	261	877	
30	511	592	1122	
31	605	568	1196	
32	3840	2836	6746	
33	1499	1978	3508	
34	476	1774	2269	
35	1098	2264	3387	
36	3294	2116	5485	
37	680	1434	2141	
38	1255	1067	2348	
39	2750	592	3365	
40	2510	561	3106	
41	2130	2648	4852	
42	1066	2007	3104	
43	2254	1616	3917	
44	489	719	1224	
45	829	443	1284	
46	1218	1924	3175	
47	631	1137	1785	
48	576	1043	1634	
49	487	708	1204	
50	634	732	1388	
51	1429	213	1656	
52	498	706	1214	
53	1250	625	1903	
54	1549	120	1675	
55	1219	389	1626	
56	832	177	1028	
57	806	396	1222	
58	669	1168	1856	
59	856	1617	2498	
60	971	1295	2301	
61	2174	1350	3579	
62	1675	75	1757	
63	509	589	1113	
64	1731	723	2490	
65	2046	402	2478	
66	674	1166	1857	
67	1175	923	2129	
68	1007	854	1899	
69	2651	1593	4305	
70	1700	94	1803	
71	1663	487	2187	
72	1547	112	1688	
73	928	257	1201	
74	799	428	1243	
75	1550	499	2070	
76	2388	454	2860	
77	2096	68	2172	
78	1533	702	2248	
79	1387	244	1637	
80	1430	138	1577	
81	1041	756	1823	
82	540	839	1394	
83	459	1221	1692	
84	966	921	1932	
85	2696	1400	4143	
86	567	692	1274	
87	1267	2141	3434	
88	926	1348	2300	
89	1034	398	1447	
90	1381	518	1941	
91	2267	27	2297	
92	1276	96	1383	
93	406	998	1411	
94	550	819	1385	
95	1101	247	1365	
96	696	741	1455	
97	908	913	1846	
98	876	215	1101	
99	1674	167	1855	
100	901	877	1790	
101	909	543	1486	
102	2273	794	3106	
103	1059	76	1144	
104	2108	170	2296	
105	1683	242	1939	
106	1247	145	1407	
107	925	1082	2031	
108	729	1058	1809	
109	2162	820	3031	
110	1025	1526	2582	
111	2082	153	2244	
112	1955	435	2418	
113	628	772	1409	
114	2511	452	2987	
115	1993	476	2484	
116	1683	160	1860	
117	1756	11	1769	
118	2290	258	2569	
119	1717	80	1804	
120	1269	165	1450	
121	1081	576	1690	
122	410	628	1050	
123	865	1155	2043	
124	586	1121	1718	
125	945	1726	2697	
126	879	1417	2329	
127	825	375	1214	
128	1006	196	1211	
129	1166	356	1538	
130	974	1190	2183	
131	547	691	1252	
132	1297	343	1670	
133	1774	30	1805	
134	490	1165	1664	
135	987	302	1311	
136	1148	456	1641	
137	629	636	1277	
138	1466	199	1680	
139	991	2039	3063	
140	1391	332	1735	
141	1611	199	1817	
142	712	214	938	
143	1784	328	2134	
144	1336	884	2241	
145	558	237	808	
146	1059	859	1962	
147	899	1065	1987	
148	717	811	1563	
149	867	449	1353	
150	1489	46	1539	
151	1537	128	1674	
152	1954	53	2013	
153	1890	190	2099	
154	850	316	1187	
155	481	892	1388	
156	877	344	1237	
157	1184	2127	3348	
158	2012	2232	4309	
159	3768	636	4446	
160	616	1019	1657	
161	1421	383	1819	
162	3018	3457	6541	
163	829	346	1182	
164	1384	408	1821	
165	784	1149	1949	
166	460	1095	1559	
167	739	917	1681	
168	1042	1527	2590	
169	1595	2298	3932	
170	1037	1552	2613	
171	1979	586	2623	
172	1438	2170	3642	
173	1503	2519	4065	
174	1295	2356	3689	
175	567	549	1131	
176	2779	1450	4263	
177	2747	886	3676	
178	1367	836	2228	
179	1279	2131	3458	
180	1409	1873	3311	
181	3972	384	4379	
182	3773	1436	5269	
183	4879	1426	6399	
184	2646	321	2992	
185	1681	719	2439	
186	1058	1391	2490	
187	1484	1700	3238	
188	685	1333	2051	
189	1041	375	1442	
190	775	383	1181	
191	1394	2713	4137	
192	829	1919	2797	
193	910	2134	3079	
194	2249	2126	4430	
