0	2436396.75497	294087.087385
1	2472580.84669	272707.189188
2	2557951.8639	335504.738263
3	2484100.53476	391158.928031
4	2440518.30532	367005.258108
5	2481379.23976	370699.217943
6	2466338.39827	378477.314732
7	2489965.98805	374856.4312
8	2426126.05861	430164.4536
9	2506012.05174	384947.937455
10	2500482.03661	325024.439215
11	2456321.2395	413443.970767
12	2535639.46595	380632.565177
13	2508734.79074	418171.579638
14	2447632.47155	382046.435116
15	2452702.06514	339630.365134
16	2413610.48849	393863.318257
17	2411061.58994	366235.719477
18	2472733.8034	400924.223277
19	2428842.78346	336967.251415
20	2483447.01033	294210.602326
21	2543379.6623	340118.294902
22	2531776.40226	355551.837513
23	2508701.15272	362498.91544
24	2319809.74025	433408.605551
