0	19	54007.4601826
0	1	67415.9099638
0	10	9278.31653097
-1	0	83485.4980395
1	0	67415.9099638
1	10	43294.1996457
1	20	59635.8870128
-1	1	85163.7584092
2	12	27985.0309603
2	22	15085.6336594
2	21	44094.8701115
2	10	31874.2263085
-1	2	77025.8952882
3	13	7360.80913133
3	9	25663.7157535
3	7	16005.5847523
3	5	9548.25492124
3	18	33908.5243483
3	6	19284.9616184
3	10	2686.69022083
4	16	13318.7667444
4	14	36957.7026621
4	17	30272.9600152
4	19	36016.6517072
4	15	15620.1502933
4	10	22418.5936528
5	7	13607.295141
5	3	9548.25492124
5	10	17605.7396653
6	14	24758.4055502
6	18	8105.81272963
6	3	19284.9616184
6	10	9667.24136299
7	9	26069.6874459
7	5	13607.295141
7	3	16005.5847523
7	10	8345.94298594
7	23	5045.72206443
8	24	40795.6804424
8	16	44167.7303908
8	11	81882.0186602
-1	8	63395.2731391
9	13	16387.8330485
9	12	40702.4536736
9	7	26069.6874459
9	3	25663.7157535
9	23	25932.798815
10	22	30503.3870449
10	21	28175.8389695
10	2	31874.2263085
10	4	22418.5936528
10	7	8345.94298594
10	5	17605.7396653
10	14	11575.3943292
10	6	9667.24136299
10	3	2686.69022083
10	19	8206.55956469
10	0	9278.31653097
10	1	43294.1996457
10	15	26591.1566712
10	20	56086.6873146
10	23	30687.9070615
-1	10	54957.8175536
11	13	20262.1490885
11	8	81882.0186602
11	16	13159.0144499
11	14	28671.8796045
11	18	46822.9471731
-1	11	23918.6560374
12	13	37201.1559451
12	9	40702.4536736
12	22	25651.9559251
12	2	27985.0309603
12	23	10951.2104418
-1	12	87496.9445643
13	9	16387.8330485
13	12	37201.1559451
13	11	20262.1490885
13	18	11591.4581682
13	3	7360.80913133
-1	13	119231.518973
14	4	36957.7026621
14	16	3748.19251487
14	11	28671.8796045
14	18	6689.75758418
14	6	24758.4055502
14	10	11575.3943292
15	4	15620.1502933
15	19	41975.9398454
15	10	26591.1566712
16	4	13318.7667444
16	24	32706.7794505
16	8	44167.7303908
16	11	13159.0144499
16	14	3748.19251487
16	17	24637.0688316
17	4	30272.9600152
17	24	22454.5972818
17	16	24637.0688316
17	19	29754.7202479
-1	17	10138.2240573
18	13	11591.4581682
18	11	46822.9471731
18	14	6689.75758418
18	6	8105.81272963
18	3	33908.5243483
19	4	36016.6517072
19	17	29754.7202479
19	0	54007.4601826
19	15	41975.9398454
19	10	8206.55956469
-1	19	23120.5697343
20	1	59635.8870128
20	10	56086.6873146
21	22	42349.0506263
21	2	44094.8701115
21	10	28175.8389695
22	12	25651.9559251
22	21	42349.0506263
22	2	15085.6336594
22	10	30503.3870449
22	23	10742.66715
23	9	25932.798815
23	12	10951.2104418
23	22	10742.66715
23	7	5045.72206443
23	10	30687.9070615
24	8	40795.6804424
24	16	32706.7794505
24	17	22454.5972818
-1	24	591806.806395
