0	195	657	872
1	361	1479	1885
2	636	2171	2875
3	2244	2796	5183
4	815	1797	2707
5	992	194	1211
6	856	2183	3102
7	1852	2296	4263
8	847	2088	3001
9	1143	1439	2681
10	861	1021	1953
11	646	1548	2253
12	184	847	1057
13	218	440	668
14	629	1342	2041
15	217	795	1052
16	255	983	1287
17	142	595	752
18	1069	1535	2660
19	337	943	1326
20	405	1735	2197
21	498	1725	2307
22	312	1096	1461
23	806	1027	1866
24	8842	11317	20414
