1320	1973
1315	3391
1316	2744
1317	4468
1318	2038
1321	2455
1322	2802
1323	5712
1324	4491
1325	3113
1326	3937
1319	4940
1327	6086
1328	4869
1329	2662
1330	2042
1331	7024
1332	2209
1137	4575
1138	8086
1333	4140
1334	5874
1335	3682
1336	3231
1337	4209
1139	6217
1140	4386
1338	4383
1339	2684
1341	3339
1342	5429
1343	6446
1340	5414
1344	2814
1345	2315
1346	6951
1686	3625
1687	4524
1688	3319
1689	1006
1690	1228
1691	1447
1692	2736
1693	3213
1694	1376
1695	1215
1696	3377
1697	2382
1698	1776
1699	2213
1700	1430
1701	2331
2090	869
2091	858
2092	1528
2093	4474
2094	1991
2095	375
2096	1060
581	2077
580	506
579	3510
578	3536
577	4676
576	3734
575	1954
574	1942
573	1665
572	1613
571	1735
1583	1104
1584	868
1585	612
1586	413
1587	1819
1588	2652
1589	1230
1590	680
1591	718
1592	240
1593	302
1577	613
1578	2614
1579	1376
1580	2708
1581	4614
1582	4718
50	384
51	1297
52	672
53	2996
59	614
60	490
61	516
62	468
63	2930
64	132
65	711
76	1227
77	443
78	1189
79	676
80	1207
81	1096
82	296
83	453
2069	3282
2070	1621
2071	1933
2072	2165
2073	1008
2074	1892
2075	1241
2076	2354
2077	2141
2078	3517
2079	2057
2080	6147
2081	2198
2082	1792
2083	3297
2084	2412
2085	1485
2086	2274
2087	1191
2088	2040
2089	1712
22	2182
23	1103
24	1229
25	992
26	966
27	7005
28	1290
29	1410
72	1554
73	1409
74	1671
75	471
167	2047
168	1094
169	3962
170	2304
171	1829
172	1884
173	1850
174	2318
175	965
176	1896
177	733
178	4467
179	1217
180	4042
181	2638
182	909
183	1035
1530	3167
1531	2619
1532	4342
1533	5873
1534	2723
1535	3657
1536	5323
1537	6186
1538	5335
1539	4816
1540	4767
1541	5142
1542	6018
1543	7119
1544	2716
1545	5904
1546	4769
1547	13819
1548	2408
1549	3377
1550	3747
1551	2408
1552	1196
1976	4216
1975	5260
1974	4104
1973	5301
1972	4100
1971	2189
1970	1830
1969	2663
1968	1153
1967	1933
1966	2130
1965	5273
1964	4056
1963	5810
1962	4179
1961	3508
1960	5975
1959	6332
1958	1673
1957	6306
1956	5279
1955	1566
1954	3044
1953	9126
1952	4899
1951	4208
1950	3028
1949	2868
1948	3081
1947	1569
1946	1665
1945	5926
1944	2781
1943	2660
1942	5772
1941	3534
1940	2364
1939	4856
1938	1345
1937	4388
1936	2386
1935	2748
1934	1528
1933	2671
1932	2017
1931	3875
1930	2310
1929	1763
1928	2190
1927	2989
1926	4082
1925	2159
1916	7660
1915	1330
1914	2564
1913	3674
1912	2287
1911	790
1910	5705
1909	1300
1908	2892
1907	2558
1906	3003
1905	5176
1898	10497
1897	3211
1896	3003
1398	3667
1399	678
1400	4856
1401	4833
1402	2112
1403	2630
1404	1180
1405	4510
1406	714
1407	1047
1408	2259
1409	3602
1410	3041
1411	2887
1412	4725
1413	2614
1414	2851
1415	3456
1416	3614
1417	2509
1418	3547
1419	2440
1420	3134
1421	4573
1422	3701
1423	1066
1424	3520
1425	1738
1426	3469
1427	2636
1428	3303
1846	2920
1840	4030
1839	4339
1837	5062
1836	3569
1830	5106
1829	2596
1828	4317
1827	5262
1826	1864
1825	3038
1824	6241
1811	3448
1855	6954
1850	7704
1848	2674
1810	4154
1872	2987
1871	3800
1870	1421
1823	4942
1822	4158
1821	3631
1869	2026
1868	3458
1854	7960
1853	2438
1852	991
1847	2292
1851	2651
1849	4666
1867	5607
1866	1431
1865	2636
1820	3799
1819	4687
1818	7619
1817	2887
1816	3106
1864	3120
1857	1231
1856	4558
1815	3883
1814	3058
1813	3348
1812	6342
1254	2754
1255	2345
1256	2355
1257	1692
1258	2544
1265	1180
1266	5061
1267	4422
1268	3763
1269	2603
1270	3074
1271	5158
1272	2963
1273	5094
1274	3606
1275	4511
1276	3937
1277	5772
1278	5115
1285	5912
1286	2394
1287	1876
1288	4898
262	3652
263	2506
264	3822
2640	394
2639	694
2638	605
2637	1672
2636	821
2635	426
2634	1339
2633	3978
2632	1633
2631	850
2630	427
2629	214
2628	522
2627	327
2626	333
2625	3655
2624	2990
2623	1517
2622	3931
2621	728
2620	2965
2619	4991
2618	3187
2617	4447
2616	1571
2615	3213
2614	1749
2613	2399
2612	3050
2611	356
2610	1207
2609	4033
2608	5716
2607	529
54	4537
55	3031
56	1127
57	3207
58	3102
66	1192
67	2895
68	886
69	1363
70	1205
71	1174
435	3671
436	5742
425	5222
438	4035
439	3107
440	3907
437	3391
441	2503
442	6559
443	3456
444	3071
445	6067
446	3931
458	2023
459	5408
452	2676
453	4858
460	1172
461	3528
462	2871
463	1904
474	5344
454	929
475	4899
411	4816
410	2469
412	5419
413	2873
414	3180
419	9658
420	3828
421	4542
415	2263
416	1779
417	4884
422	3955
423	4598
418	1187
424	5973
434	2660
1364	8113
1365	2492
1366	1114
1367	6428
1368	4582
1369	2124
1370	3304
1371	1222
1372	2042
1373	5464
1374	2566
1375	5258
1376	1094
1377	1823
1378	8290
1379	2130
1380	2545
1381	2914
604	1591
605	2290
606	1342
607	940
608	3055
609	1344
610	3015
611	2978
612	2306
613	2311
614	2871
615	1964
616	644
617	793
565	1333
564	1306
563	4478
562	2085
561	2338
560	3253
253	1055
254	959
255	1802
256	1578
257	1513
258	764
259	850
260	1393
261	673
1502	4832
1503	1799
1504	2589
1505	3396
1506	3513
1507	3886
1508	6475
1509	3206
1510	4571
1511	5080
1512	3299
1513	3801
1514	4743
1515	2157
1516	3379
1517	2380
1518	1198
1519	3320
1520	2798
1521	5040
1522	5908
1523	4285
1524	2215
1525	3846
1526	1082
1527	2904
1528	2599
1529	3777
426	1502
427	1778
428	2175
429	2729
430	1461
431	691
432	3018
433	6506
447	3743
448	2034
449	1147
450	651
451	1339
455	727
456	1048
457	3258
464	1772
465	1632
466	3388
467	4861
468	843
469	2964
470	4809
471	2077
472	1611
473	334
270	717
271	3093
269	1423
279	782
280	1465
281	1073
282	6118
283	6831
284	3396
285	3648
286	3119
287	3576
288	4155
289	1808
291	1122
292	1257
293	3294
290	5655
294	2862
295	2967
296	3192
297	3836
298	13989
299	4402
300	5834
301	5449
302	8442
2659	5963
2658	10457
2657	16413
2656	1595
2655	3241
2654	1535
2653	1617
2652	1610
2651	1857
2650	3761
2649	2148
2648	2415
2647	3306
2646	1823
2645	18788
2644	8999
2643	3234
2642	2280
2641	2946
2688	20447
2687	4276
2686	2501
2685	4275
2684	6347
2683	2481
2682	3601
2681	2453
2680	3314
2679	3604
2678	5570
2677	4263
2676	9054
2675	3355
2674	4679
2673	15224
2672	8113
2671	4809
2670	31242
2669	5813
2668	3822
2667	3227
2666	9091
2665	34282
2664	3613
2663	2691
2662	3484
2661	14454
2660	5358
266	461
267	2192
268	450
265	309
275	1277
272	1545
273	4548
274	4872
276	92
277	1383
278	6418
2018	3272
2019	369
2020	6683
2021	161
2022	227
2023	624
2024	858
2026	3306
2027	4179
2028	6112
2029	2789
2030	777
2044	504
2045	891
2046	1526
2051	1642
1630	8261
1631	5088
1632	3778
1633	3794
1634	7281
1635	6164
1636	3117
1637	3601
1638	3308
1639	4371
1640	5602
1641	3908
1642	3615
1643	1794
1644	5707
1650	2296
1651	4642
1652	1168
1653	6715
1654	3906
1655	2206
1656	3631
1657	3512
1658	1441
1659	2964
1660	3708
1661	4533
1662	1596
1663	3051
1664	3909
1665	3902
1666	2642
1667	5963
1668	5112
1669	4753
1670	5038
1671	3187
1672	2693
1673	1817
1675	3170
1676	3089
1677	2845
1442	1421
1443	1810
1444	3764
1445	3418
1446	3292
1447	2281
1448	2644
1449	3165
1450	3408
1451	2898
1452	2409
1453	4640
1454	3377
1455	2713
478	4650
479	2221
480	2293
481	1236
482	5634
483	1621
484	2014
487	3110
488	6041
489	7587
496	1396
497	3110
498	3880
500	855
501	1576
502	3377
504	2062
505	1716
506	4126
356	8481
355	2589
354	9834
353	5173
352	5978
351	2306
350	4941
349	1817
348	10049
347	6145
346	3213
345	9369
344	2747
343	2609
342	4074
341	6717
337	9238
336	6429
335	4448
334	8140
333	7653
332	4671
315	3385
314	6673
313	5003
312	7345
311	3723
310	4556
309	7535
308	2145
307	4761
398	5174
397	4317
396	11492
395	3198
389	2303
388	1793
387	2049
386	2567
385	3109
384	2482
383	2671
382	3506
381	5040
380	1703
379	1648
378	835
377	2808
376	9293
375	2585
374	3392
373	5848
372	5353
371	8257
370	4417
1758	3524
1759	3800
1760	1560
1761	2460
1776	2997
1777	3326
1778	1282
1775	2554
1779	3303
1780	1818
1781	910
1782	737
1783	4623
1784	1822
1785	5666
1787	2134
1796	1807
1797	1931
1786	4598
1798	3794
1799	1906
1064	3565
1063	3205
1060	3763
1059	2054
1058	3147
1057	2450
1056	859
1055	5761
1054	3927
1053	3546
1052	2439
1051	4141
1050	2435
1040	3080
1049	2719
1048	8360
1047	4345
1046	3332
1045	5284
1039	3512
1038	1489
1044	4068
1037	4679
1043	5762
1042	3643
1036	2431
1035	3085
1034	2582
1041	1801
1033	4244
1032	1938
1031	4755
1030	3611
1029	4131
1028	6860
1027	1410
1026	2485
983	7208
1071	3504
1070	4382
1025	4205
1024	2018
1062	1783
1061	2317
1176	5555
1023	1955
1022	1813
1021	1954
1020	4897
1069	2084
1019	6279
1018	5456
1017	2757
1016	3498
1015	2521
1014	4027
1013	2807
