1	0	368	733	74
2	0	447	645	62
3	0	1099	970	134
4	0	596	995	111
5	0	625	1130	114
6	0	200	785	61
7	0	635	1104	110
8	0	394	720	91
9	0	266	1038	94
10	0	231	1401	143
11	0	178	1173	92
12	0	405	456	52
13	0	214	1379	141
14	0	178	1180	97
15	0	343	1074	106
16	0	342	1074	106
17	0	440	832	82
18	0	901	809	104
19	0	509	1255	144
20	0	754	2218	244
21	0	1679	3400	425
22	0	683	288	27
23	0	239	267	24
24	0	244	318	28
25	0	326	234	16
26	0	53	452	24
27	0	1688	889	108
28	0	314	173	22
29	0	432	113	20
30	0	848	969	109
31	0	1042	1458	135
32	0	1168	716	160
33	0	156	240	17
34	0	148	252	20
35	0	1266	706	208
36	0	870	306	90
37	0	1407	1246	202
38	0	115	169	23
39	0	910	1176	168
40	0	1077	916	160
41	0	1366	1220	210
42	0	375	864	83
43	0	268	467	51
44	0	597	975	116
45	0	160	227	19
46	0	545	1039	109
47	0	202	508	53
48	0	24	77	9
49	0	1294	727	203
50	0	19	183	12
51	0	133	487	36
52	0	49	270	22
53	0	467	915	120
54	0	673	1336	85
55	0	790	589	52
56	0	208	356	29
57	0	508	964	74
58	0	402	326	45
59	0	33	180	16
60	0	32	221	15
61	0	34	181	13
62	0	18	180	12
63	0	97	387	36
64	0	20	41	3
65	0	43	309	31
66	0	402	325	45
67	0	844	603	58
68	0	213	261	27
69	0	239	405	19
70	0	238	405	19
71	0	154	422	20
72	0	313	425	19
73	0	472	63	13
74	0	548	179	29
75	0	212	32	12
76	0	68	383	44
77	0	36	186	17
78	0	116	503	34
79	0	100	239	26
80	0	245	619	54
81	0	84	384	39
82	0	12	146	11
83	0	99	255	14
84	0	313	252	26
85	0	112	106	16
86	0	637	415	85
87	0	1277	513	96
88	0	3266	2579	389
89	0	466	468	65
90	0	299	522	47
91	0	785	1340	157
92	0	338	188	28
93	0	645	347	48
94	0	486	18	10
95	0	648	548	79
96	0	289	373	30
97	0	304	811	58
98	0	342	1963	178
99	0	224	644	49
100	0	605	1329	124
101	0	335	1531	118
102	0	151	1084	90
103	0	445	965	111
104	0	559	1204	119
105	0	371	463	59
106	0	177	709	72
107	0	477	920	103
108	0	429	2186	176
109	0	173	671	53
110	0	897	746	120
111	0	644	1554	147
112	0	248	796	60
