1320	1983776
1315	2887172
1316	2631881
1317	4295286
1318	3117148
1321	2586124
1322	3105714
1323	5949266
1324	79145522
1325	6182666
1326	13343993
1319	5727890
1327	7176965
1328	131427989
1329	3348526
1330	16697276
1331	22865955
1332	84263606
1137	115879721
1138	22372367
1333	88081138
1334	17013533
1335	3313180
1336	6085502
1337	30912285
1139	76498300
1140	20899898
1338	55607795
1339	2442748
1341	92731836
1342	38976511
1343	27471779
1340	96536637
1344	5213147
1345	14855806
1346	14269132
1686	28000517
1687	35355004
1688	117141254
1689	65841938
1690	45194548
1691	66599557
1692	61447491
1693	60189685
1694	13388968
1695	53532240
1696	34118311
1697	24880641
1698	14278741
1699	16222706
1700	15706174
1701	30873502
2090	79160617
2091	74573919
2092	105505472
2093	126399318
2094	103036277
2095	62011851
2096	62099954
581	91545882
580	158783839
579	297075904
578	113112978
577	75507025
576	44842259
575	112250167
574	127023740
573	172768413
572	134227685
571	63610213
1583	98023356
1584	68115500
1585	74824107
1586	30037420
1587	74936627
1588	152238077
1589	44202316
1590	47142008
1591	47865543
1592	43319496
1593	35907660
1577	30330340
1578	93052373
1579	58432512
1580	57926291
1581	70099703
1582	85540522
50	22067226
51	42182897
52	35384481
53	71921822
59	23621652
60	11322637
61	14434290
62	36264304
63	56564556
64	113547768
65	36270743
76	23867859
77	14215803
78	21997207
79	17519209
80	28973503
81	19644394
82	7974834
83	42514523
2069	18256528
2070	380600331
2071	233241278
2072	3191677
2073	150551259
2074	106881247
2075	204642695
2076	147913711
2077	74494342
2078	116187001
2079	8133087
2080	225963374
2081	8759580
2082	218454447
2083	8596048
2084	47496875
2085	158423234
2086	138216348
2087	147191596
2088	73358604
2089	10620279
22	107135281
23	122463144
24	123109969
25	232432275
26	59083911
27	339987232
28	49913634
29	176863330
72	190265711
73	266441352
74	152466298
75	99567471
167	79434349
168	72976402
169	87548701
170	251347426
171	82239404
172	193612333
173	187634968
174	118746481
175	116968617
176	213198980
177	126788115
178	112108038
179	87315319
180	87344634
181	72540959
182	202509635
183	205106472
1530	219535822
1531	241616179
1532	102458922
1533	146380661
1534	108515931
1535	265403434
1536	113483512
1537	142138550
1538	279647492
1539	14418525
1540	81885354
1541	28506693
1542	121901747
1543	87055638
1544	11006740
1545	83379381
1546	25066873
1547	159896558
1548	15140945
1549	331356226
1550	28739412
1551	92714840
1552	19304585
1976	6953911
1975	36864738
1974	16982527
1973	37191218
1972	3424762
1971	2428743
1970	2567665
1969	6493826
1968	2166819
1967	3228871
1966	30198113
1965	21702053
1964	80836873
1963	98425702
1962	45598646
1961	9989064
1960	8121809
1959	42790779
1958	38858131
1957	10509526
1956	58313668
1955	1332161
1954	4500005
1953	23012970
1952	67239002
1951	68846487
1950	4764240
1949	65008422
1948	18250815
1947	6040927
1946	2839293
1945	10392809
1944	1737011
1943	65735815
1942	17924976
1941	28192178
1940	20133681
1939	14961534
1938	8472997
1937	50082384
1936	5296746
1935	5506121
1934	1727922
1933	25431025
1932	129717472
1931	8324868
1930	2489190
1929	110965489
1928	2339420
1927	3786714
1926	27182543
1925	1856052
1916	83151644
1915	1651941
1914	3504953
1913	9610063
1912	1713106
1911	63054218
1910	38430647
1909	8626699
1908	34407029
1907	9014630
1906	2370100
1905	25453393
1898	48217663
1897	9951694
1896	2497214
1398	155062988
1399	63061519
1400	20977158
1401	35836543
1402	9092152
1403	20828123
1404	214901816
1405	25919557
1406	81874993
1407	40329903
1408	40023399
1409	81481084
1410	6183159
1411	26268869
1412	62288983
1413	32551444
1414	29479949
1415	19321253
1416	7271357
1417	5022853
1418	23433177
1419	13190566
1420	11090546
1421	32387228
1422	63580527
1423	68794888
1424	20356762
1425	10062505
1426	26747489
1427	50762870
1428	35620141
1846	4392975
1840	4118339
1839	6973534
1837	18895560
1836	9067285
1830	9761995
1829	4220977
1828	10476274
1827	7005499
1826	12048753
1825	38762380
1824	117900559
1811	7563944
1855	20188723
1850	23296514
1848	3866608
1810	4789844
1872	22542063
1871	5821604
1870	3785374
1823	6343469
1822	30430093
1821	3196865
1869	2190644
1868	75858667
1854	21215305
1853	2114392
1852	1037290
1847	2885307
1851	6118506
1849	4696976
1867	80917765
1866	69188536
1865	66541283
1820	59291035
1819	56675599
1818	25272977
1817	9804665
1816	4708523
1864	12681574
1857	5097564
1856	20177319
1815	10949167
1814	6075390
1813	13643789
1812	11133490
1254	355475812
1255	29007397
1256	24971001
1257	95954626
1258	10571110
1265	123938126
1266	55027936
1267	32388522
1268	27251934
1269	3939534
1270	14745944
1271	17909229
1272	13466950
1273	16329002
1274	12769072
1275	130813747
1276	23732187
1277	46252233
1278	25611603
1285	49637283
1286	95129799
1287	3917231
1288	19498888
262	306135939
263	349928986
